"Page type","ICD-O-3 Hist/behav","Summary Interval","Derived AJCC Stage Group, 6th ed (2004-2015)","N","Cause-Spec"
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIIEB,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIIE,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIISA,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIISB,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIIS,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIIESA,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIIESB,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IIIES,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IV,1,0.000
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IVNOS,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IVA,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IVB,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,IVC,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,NA,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,OCCULT,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,UNK Stage,0, 
Survival Summary Page,"8120/3: Transitional cell carcinoma, NOS",84 mo,Blank(s),3,66.667
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,0,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,0a,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,0is,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,I,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,INOS,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IA,6,80.000
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IA1,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IA2,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IB,3,100.000
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IB1,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IB2,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IC,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IS,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IEA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IEB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IE,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,ISA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,ISB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,II,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IINOS,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIB,1,100.000
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIC,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIEA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIEB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIE,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IISA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IISB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIS,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIESA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIESB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIES,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,III,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIINOS,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIA,1,0.000
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIB,2,0.000
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIC,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIEA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIEB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIE,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIISA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIISB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIS,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIESA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIESB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IIIES,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IV,3,33.333
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IVNOS,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IVA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IVB,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,IVC,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,NA,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,OCCULT,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,UNK Stage,0, 
Survival Summary Page,8123/3: Basaloid carcinoma,84 mo,Blank(s),7,28.571
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,0,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,0a,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,0is,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,I,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,INOS,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IA,4599,69.688
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IA1,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IA2,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IB,3316,56.541
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IB1,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IB2,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IC,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IS,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IEA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IEB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IE,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,ISA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,ISB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,II,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IINOS,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIA,538,46.046
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIB,1282,36.198
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIC,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIEA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIEB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIE,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IISA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IISB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIS,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIESA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIESB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIES,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,III,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIINOS,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIA,3330,22.986
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIB,5476,11.826
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIC,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIEA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIEB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIE,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIISA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIISB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIS,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIESA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIESB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IIIES,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IV,19973,3.119
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IVNOS,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IVA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IVB,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,IVC,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,NA,0, 
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,OCCULT,301,22.436
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,UNK Stage,1832,11.460
Survival Summary Page,"8140/3: Adenocarcinoma, NOS",84 mo,Blank(s),25783,17.681
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,0,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,0a,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,0is,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,I,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,INOS,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IA,1,100.000
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IA1,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IA2,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IB1,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IB2,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IC,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IS,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IEA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IEB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IE,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,ISA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,ISB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,II,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IINOS,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIC,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIEA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIEB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIE,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IISA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IISB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIS,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIESA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIESB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIES,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,III,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIINOS,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIB,1,0.000
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIC,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIEA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIEB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIE,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIISA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIISB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIS,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIESA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIESB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IIIES,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IV,3,0.000
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IVNOS,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IVA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IVB,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,IVC,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,NA,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,OCCULT,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,UNK Stage,0, 
Survival Summary Page,8141/3: Scirrhous adenocarcinoma,84 mo,Blank(s),1, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,0,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,0a,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,0is,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,I,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,INOS,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IA1,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IA2,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IB1,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IB2,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IC,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IS,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IEA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IEB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IE,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,ISA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,ISB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,II,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IINOS,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIC,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIEA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIEB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIE,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IISA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IISB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIS,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIESA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIESB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIES,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,III,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIINOS,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIC,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIEA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIEB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIE,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIISA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIISB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIS,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIESA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIESB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IIIES,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IV,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IVNOS,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IVA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IVB,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,IVC,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,NA,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,OCCULT,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,UNK Stage,0, 
Survival Summary Page,8143/3: Superficial spreading adenocarcinoma,84 mo,Blank(s),2,0.000
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,0,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,0a,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,0is,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,I,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,INOS,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IA,2,100.000
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IA1,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IA2,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IB1,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IB2,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IC,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IS,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IEA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IEB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IE,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,ISA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,ISB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,II,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IINOS,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIC,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIEA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIEB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIE,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IISA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IISB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIS,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIESA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIESB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIES,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,III,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIINOS,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIB,1, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIC,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIEA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIEB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIE,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIISA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIISB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIS,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIESA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIESB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IIIES,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IV,1,0.000
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IVNOS,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IVA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IVB,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,IVC,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,NA,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,OCCULT,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,UNK Stage,0, 
Survival Summary Page,"8144/3: Adenocarcinoma, intestinal type",84 mo,Blank(s),0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,0,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,0a,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,0is,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,I,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,INOS,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IA1,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IA2,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IB1,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IB2,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IC,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IS,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IEA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IEB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IE,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,ISA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,ISB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,II,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IINOS,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIC,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIEA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIEB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIE,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IISA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IISB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIS,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIESA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIESB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIES,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,III,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIINOS,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIIA,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIIB,0, 
Survival Summary Page,"8145/3: Carcinoma, diffuse type",84 mo,IIIC,0, 
